No,Time,Sample Type,Label,7Li,9Be [ppb],11B [ppb],23Na [ppb],24Mg [ppb],27Al [ppb],28Si [ppb],39K [ppb],44Ca [ppb],45Sc,49Ti [ppb],51V [ppb],52Cr [ppb],55Mn [ppb],57Fe [ppb],59Co [ppb],60Ni [ppb],63Cu [ppb],64Zn [ppb],69Ga [ppb],72Ge [ppb],75As [ppb],82Se [ppb],88Sr [ppb],90Zr [ppb],93Nb [ppb],95Mo [ppb],101Ru [ppb],103Rh [ppb],105Pd [ppb],107Ag [ppb],111Cd [ppb],115In,118Sn [ppb],121Sb [ppb],137Ba [ppb],146Nd [ppb],157Gd [ppb],159Tb,181Ta [ppb],184W [ppb],185Re [ppb],193Ir [ppb],195Pt [ppb],197Au [ppb],205Tl [ppb],208Pb [ppb],209Bi
1,12/7/2017 10:12,UNKNOWN,Rinse Blank / Internal standard,96.50%,-0.001,0.002,0.311,0.031,-0.056,-0.44,2.363,-1.916,96.60%,-0.002,0.016,0.008,-0.001,0.098,0,-0.006,-0.007,0.014,0,0,0.008,-0.024,-0.001,0,0,0,-0.001,0,-0.006,0.002,0,98.20%,0.139,-0.007,-0.002,0,0,97.80%,0,0.001,0,0.001,0.005,0.003,0,0,98.80%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,96.30%,-0.001,0.004,-0.137,0.145,0.009,0.22,3.401,-3.051,96.70%,-0.003,0.025,0.008,-0.002,0.417,0,-0.014,-0.004,-0.101,0,0.001,0.007,0.005,-0.002,0,-0.001,0,-0.002,-0.001,-0.008,0.001,0,97.90%,0.001,-0.01,-0.006,0,0,96.40%,0,0.001,0,0.001,0.004,0.005,0,-0.001,98.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,96.40%,-0.001,-0.001,-0.089,-0.108,-0.146,-0.227,2.288,-1.516,95.90%,-0.006,0.02,0.015,-0.002,0.093,0,-0.009,-0.013,0.029,0,-0.002,0.009,-0.05,-0.001,0,0.001,0,-0.002,0.001,-0.007,0.001,0,98.00%,0.413,-0.007,-0.002,0,0,96.90%,0.001,0.001,0,0.001,0.005,0.003,0,0,98.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,3,96.70%,-0.001,0.004,1.158,0.056,-0.031,-1.313,1.399,-1.18,97.10%,0.002,0.003,0.001,-0.001,-0.216,0,0.005,-0.003,0.113,0,0.002,0.007,-0.028,-0.001,0,0.001,0,-0.001,0.001,-0.003,0.002,0,98.60%,0.003,-0.004,0.002,0,0,100.00%,0,0,0,0.001,0.004,0.002,0,0.001,100.10%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean:,96.50%,-0.001,0.002,0.311,0.031,-0.056,-0.44,2.363,-1.916,96.60%,-0.002,0.016,0.008,-0.001,0.098,0,-0.006,-0.007,0.014,0,0,0.008,-0.024,-0.001,0,0,0,-0.001,0,-0.006,0.002,0,98.20%,0.139,-0.007,-0.002,0,0,97.80%,0,0.001,0,0.001,0.005,0.003,0,0,98.80%
